trip_id,bike_id,start_time,duration_min,start_station,end_station,user_type
54,1566,2025-01-01 00:53:00,50,D,C,Subscriber
55,1243,2025-01-01 00:54:00,15,E,D,Subscriber
56,1831,2025-01-01 00:55:00,59,A,B,Customer
57,1504,2025-01-01 00:56:00,47,D,A,Customer
58,1130,2025-01-01 00:57:00,21,C,A,Subscriber
59,1484,2025-01-01 00:58:00,40,B,B,Customer
60,1818,2025-01-01 00:59:00,17,E,C,Customer
61,1646,2025-01-01 01:00:00,11,D,B,Subscriber
62,1020,2025-01-01 01:01:00,20,D,B,Customer
63,1840,2025-01-01 01:02:00,37,E,E,Customer
64,1166,2025-01-01 01:03:00,49,C,E,Customer
65,1273,2025-01-01 01:04:00,5,E,C,Customer
66,1387,2025-01-01 01:05:00,15,C,D,Customer
67,1600,2025-01-01 01:06:00,10,E,A,Customer
68,1315,2025-01-01 01:07:00,24,D,E,Customer
69,1013,2025-01-01 01:08:00,39,A,C,Subscriber
70,1241,2025-01-01 01:09:00,48,A,B,Subscriber
71,1776,2025-01-01 01:10:00,41,D,E,Customer
72,1345,2025-01-01 01:11:00,45,A,B,Subscriber
73,1564,2025-01-01 01:12:00,30,C,B,Customer
74,1897,2025-01-01 01:13:00,16,D,E,Customer
75,1339,2025-01-01 01:14:00,34,C,C,Subscriber
76,1091,2025-01-01 01:15:00,32,D,A,Subscriber
77,1366,2025-01-01 01:16:00,31,C,C,Customer
78,1955,2025-01-01 01:17:00,46,C,D,Subscriber
79,1454,2025-01-01 01:18:00,23,A,D,Subscriber
80,1427,2025-01-01 01:19:00,9,D,A,Subscriber
81,1508,2025-01-01 01:20:00,9,E,D,Customer
82,1775,2025-01-01 01:21:00,45,A,B,Customer
83,1942,2025-01-01 01:22:00,31,C,D,Subscriber
84,1034,2025-01-01 01:23:00,32,C,E,Customer
85,1205,2025-01-01 01:24:00,30,E,B,Customer
86,1080,2025-01-01 01:25:00,31,E,C,Subscriber
87,1931,2025-01-01 01:26:00,56,C,A,Customer
88,1561,2025-01-01 01:27:00,53,E,E,Subscriber
89,1871,2025-01-01 01:28:00,46,B,E,Subscriber
90,1387,2025-01-01 01:29:00,25,A,A,Subscriber
91,1001,2025-01-01 01:30:00,5,D,D,Customer
92,1389,2025-01-01 01:31:00,58,E,A,Customer
93,1565,2025-01-01 01:32:00,32,E,A,Customer
94,1105,2025-01-01 01:33:00,52,B,D,Customer
95,1771,2025-01-01 01:34:00,19,D,C,Customer
96,1821,2025-01-01 01:35:00,59,B,A,Subscriber
97,1476,2025-01-01 01:36:00,21,D,D,Subscriber
98,1702,2025-01-01 01:37:00,30,A,E,Customer
99,1401,2025-01-01 01:38:00,24,E,A,Customer
100,1729,2025-01-01 01:39:00,29,A,A,Customer
101,1555,2025-01-01 01:40:00,17,D,C,Subscriber
102,1161,2025-01-01 01:41:00,37,E,C,Customer
103,1201,2025-01-01 01:42:00,29,B,E,Customer
104,1957,2025-01-01 01:43:00,12,C,C,Customer
105,1995,2025-01-01 01:44:00,9,B,E,Customer
106,1269,2025-01-01 01:45:00,10,C,A,Subscriber
107,1862,2025-01-01 01:46:00,27,B,D,Customer
108,1815,2025-01-01 01:47:00,56,D,C,Customer
109,1270,2025-01-01 01:48:00,34,A,E,Customer
110,1455,2025-01-01 01:49:00,18,C,C,Subscriber
111,1461,2025-01-01 01:50:00,58,D,C,Customer
112,1726,2025-01-01 01:51:00,27,A,B,Subscriber
113,1251,2025-01-01 01:52:00,15,A,A,Customer
114,1701,2025-01-01 01:53:00,35,E,C,Customer
115,1295,2025-01-01 01:54:00,10,E,D,Customer
116,1724,2025-01-01 01:55:00,15,E,B,Customer
117,1719,2025-01-01 01:56:00,17,C,E,Customer
118,1748,2025-01-01 01:57:00,16,C,E,Subscriber
119,1337,2025-01-01 01:58:00,58,A,D,Customer
120,1878,2025-01-01 01:59:00,6,C,D,Subscriber
121,1052,2025-01-01 02:00:00,57,A,A,Customer
122,1791,2025-01-01 02:01:00,39,D,D,Customer
123,1921,2025-01-01 02:02:00,59,B,E,Customer
124,1216,2025-01-01 02:03:00,40,A,A,Customer
125,1763,2025-01-01 02:04:00,21,A,D,Customer
126,1187,2025-01-01 02:05:00,32,D,D,Customer
127,1379,2025-01-01 02:06:00,32,E,E,Subscriber
128,1492,2025-01-01 02:07:00,26,E,A,Customer
129,1040,2025-01-01 02:08:00,42,E,B,Customer
130,1156,2025-01-01 02:09:00,11,A,B,Subscriber
131,1014,2025-01-01 02:10:00,19,A,A,Customer
132,1812,2025-01-01 02:11:00,36,C,D,Customer
133,1064,2025-01-01 02:12:00,15,C,D,Customer
134,1856,2025-01-01 02:13:00,28,B,A,Subscriber
135,1838,2025-01-01 02:14:00,7,B,B,Subscriber
136,1520,2025-01-01 02:15:00,34,C,C,Customer
137,1343,2025-01-01 02:16:00,10,A,E,Customer
138,1128,2025-01-01 02:17:00,6,D,A,Customer
139,1647,2025-01-01 02:18:00,18,C,C,Customer
140,1471,2025-01-01 02:19:00,45,A,E,Subscriber
141,1062,2025-01-01 02:20:00,22,C,C,Customer
142,1138,2025-01-01 02:21:00,55,E,C,Subscriber
143,1498,2025-01-01 02:22:00,48,C,E,Subscriber
144,1592,2025-01-01 02:23:00,35,E,C,Subscriber
145,1391,2025-01-01 02:24:00,17,A,B,Subscriber
146,1674,2025-01-01 02:25:00,30,E,A,Subscriber
147,1418,2025-01-01 02:26:00,48,C,B,Customer
148,1288,2025-01-01 02:27:00,16,E,B,Customer
149,1378,2025-01-01 02:28:00,22,D,E,Customer
150,1772,2025-01-01 02:29:00,13,E,E,Customer
151,1489,2025-01-01 02:30:00,53,E,E,Subscriber
152,1230,2025-01-01 02:31:00,25,B,C,Customer
153,1040,2025-01-01 02:32:00,52,D,C,Customer
154,1027,2025-01-01 02:33:00,53,A,A,Customer
155,1134,2025-01-01 02:34:00,57,E,C,Subscriber
156,1200,2025-01-01 02:35:00,44,D,A,Customer
157,1839,2025-01-01 02:36:00,47,A,B,Customer
158,1779,2025-01-01 02:37:00,28,D,A,Customer
159,1929,2025-01-01 02:38:00,38,B,A,Subscriber
160,1032,2025-01-01 02:39:00,12,A,E,Subscriber
161,1047,2025-01-01 02:40:00,48,A,C,Customer
162,1502,2025-01-01 02:41:00,57,E,D,Customer
163,1406,2025-01-01 02:42:00,37,C,D,Customer
164,1573,2025-01-01 02:43:00,27,A,E,Subscriber
165,1727,2025-01-01 02:44:00,17,A,B,Customer
166,1804,2025-01-01 02:45:00,58,B,B,Subscriber
167,1098,2025-01-01 02:46:00,57,B,B,Customer
168,1683,2025-01-01 02:47:00,53,B,A,Subscriber
169,1871,2025-01-01 02:48:00,18,E,C,Customer
170,1725,2025-01-01 02:49:00,18,A,B,Subscriber
171,1986,2025-01-01 02:50:00,20,B,D,Subscriber
172,1546,2025-01-01 02:51:00,53,B,A,Subscriber
173,1960,2025-01-01 02:52:00,42,D,B,Customer
174,1738,2025-01-01 02:53:00,43,D,B,Subscriber
175,1612,2025-01-01 02:54:00,30,B,C,Customer
176,1942,2025-01-01 02:55:00,30,E,C,Customer
177,1461,2025-01-01 02:56:00,5,C,A,Subscriber
178,1642,2025-01-01 02:57:00,36,D,D,Subscriber
179,1768,2025-01-01 02:58:00,19,D,E,Subscriber
180,1004,2025-01-01 02:59:00,56,A,D,Customer
181,1217,2025-01-01 03:00:00,25,A,C,Customer
182,1502,2025-01-01 03:01:00,22,B,C,Subscriber
183,1766,2025-01-01 03:02:00,34,A,E,Customer
184,1397,2025-01-01 03:03:00,17,A,D,Subscriber
185,1870,2025-01-01 03:04:00,28,C,D,Subscriber
186,1794,2025-01-01 03:05:00,34,E,E,Customer
187,1392,2025-01-01 03:06:00,6,B,C,Subscriber
188,1206,2025-01-01 03:07:00,23,C,A,Subscriber
189,1014,2025-01-01 03:08:00,51,B,D,Customer
190,1857,2025-01-01 03:09:00,48,E,B,Customer
191,1553,2025-01-01 03:10:00,51,B,D,Subscriber
192,1891,2025-01-01 03:11:00,29,A,D,Customer
193,1460,2025-01-01 03:12:00,54,E,D,Subscriber
194,1690,2025-01-01 03:13:00,18,C,C,Customer
195,1574,2025-01-01 03:14:00,10,C,B,Subscriber
196,1863,2025-01-01 03:15:00,16,D,D,Customer
197,1742,2025-01-01 03:16:00,24,C,A,Customer
198,1240,2025-01-01 03:17:00,27,D,B,Customer
199,1563,2025-01-01 03:18:00,34,A,E,Subscriber
200,1095,2025-01-01 03:19:00,34,C,A,Customer
201,1899,2025-01-01 03:20:00,42,E,E,Subscriber
202,1733,2025-01-01 03:21:00,34,D,D,Subscriber
203,1484,2025-01-01 03:22:00,45,C,C,Subscriber
204,1406,2025-01-01 03:23:00,34,A,D,Subscriber
205,1230,2025-01-01 03:24:00,40,E,D,Customer
206,1748,2025-01-01 03:25:00,53,E,E,Subscriber
207,1654,2025-01-01 03:26:00,38,A,D,Customer
208,1170,2025-01-01 03:27:00,20,C,A,Subscriber
209,1540,2025-01-01 03:28:00,28,B,C,Customer
210,1035,2025-01-01 03:29:00,18,C,E,Customer
211,1524,2025-01-01 03:30:00,30,D,B,Subscriber
212,1159,2025-01-01 03:31:00,12,D,D,Customer
213,1838,2025-01-01 03:32:00,18,C,E,Subscriber
214,1698,2025-01-01 03:33:00,35,D,D,Customer
215,1242,2025-01-01 03:34:00,6,B,D,Subscriber
216,1085,2025-01-01 03:35:00,52,B,E,Subscriber
217,1795,2025-01-01 03:36:00,8,E,A,Subscriber
218,1577,2025-01-01 03:37:00,5,D,B,Customer
219,1681,2025-01-01 03:38:00,59,C,D,Customer
220,1556,2025-01-01 03:39:00,24,E,A,Customer
221,1573,2025-01-01 03:40:00,18,B,D,Customer
222,1952,2025-01-01 03:41:00,44,E,D,Subscriber
223,1645,2025-01-01 03:42:00,29,A,A,Customer
224,1795,2025-01-01 03:43:00,29,D,D,Customer
225,1027,2025-01-01 03:44:00,7,C,B,Customer
226,1619,2025-01-01 03:45:00,9,B,E,Customer
227,1555,2025-01-01 03:46:00,42,E,A,Subscriber
228,1339,2025-01-01 03:47:00,58,C,C,Customer
229,1797,2025-01-01 03:48:00,30,D,D,Customer
230,1957,2025-01-01 03:49:00,44,C,E,Subscriber
231,1330,2025-01-01 03:50:00,42,D,B,Customer
232,1639,2025-01-01 03:51:00,42,D,B,Subscriber
233,1505,2025-01-01 03:52:00,8,D,C,Customer
234,1347,2025-01-01 03:53:00,11,E,B,Customer
235,1472,2025-01-01 03:54:00,34,D,E,Customer
236,1230,2025-01-01 03:55:00,34,C,C,Subscriber
237,1189,2025-01-01 03:56:00,23,A,A,Subscriber
238,1224,2025-01-01 03:57:00,43,C,C,Subscriber
239,1384,2025-01-01 03:58:00,39,E,A,Customer
240,1376,2025-01-01 03:59:00,44,D,B,Customer
241,1282,2025-01-01 04:00:00,37,A,E,Subscriber
242,1957,2025-01-01 04:01:00,37,E,D,Customer
243,1632,2025-01-01 04:02:00,18,B,C,Subscriber
244,1627,2025-01-01 04:03:00,42,B,B,Subscriber
245,1972,2025-01-01 04:04:00,14,B,E,Customer
246,1744,2025-01-01 04:05:00,32,A,D,Customer
247,1258,2025-01-01 04:06:00,18,C,C,Subscriber
248,1358,2025-01-01 04:07:00,40,A,E,Subscriber
249,1709,2025-01-01 04:08:00,42,A,B,Customer
250,1455,2025-01-01 04:09:00,20,A,C,Customer
251,1410,2025-01-01 04:10:00,25,B,C,Subscriber
252,1648,2025-01-01 04:11:00,32,C,A,Customer
253,1317,2025-01-01 04:12:00,37,A,A,Subscriber
254,1676,2025-01-01 04:13:00,10,C,C,Customer
255,1224,2025-01-01 04:14:00,45,D,E,Subscriber
256,1818,2025-01-01 04:15:00,19,A,B,Customer
257,1233,2025-01-01 04:16:00,48,A,D,Customer
258,1683,2025-01-01 04:17:00,7,A,A,Customer
259,1663,2025-01-01 04:18:00,47,D,B,Customer
260,1974,2025-01-01 04:19:00,51,D,C,Customer
261,1826,2025-01-01 04:20:00,39,B,B,Subscriber
262,1373,2025-01-01 04:21:00,18,E,B,Customer
263,1671,2025-01-01 04:22:00,6,C,B,Customer
264,1607,2025-01-01 04:23:00,33,E,C,Subscriber
265,1471,2025-01-01 04:24:00,8,A,A,Customer
266,1232,2025-01-01 04:25:00,30,A,D,Subscriber
267,1691,2025-01-01 04:26:00,55,B,E,Customer
268,1112,2025-01-01 04:27:00,16,E,A,Customer
269,1829,2025-01-01 04:28:00,6,A,D,Subscriber
270,1496,2025-01-01 04:29:00,21,E,C,Subscriber
271,1441,2025-01-01 04:30:00,39,B,D,Customer
272,1563,2025-01-01 04:31:00,14,E,C,Customer
273,1267,2025-01-01 04:32:00,52,C,D,Subscriber
274,1509,2025-01-01 04:33:00,26,B,A,Subscriber
275,1806,2025-01-01 04:34:00,45,E,C,Customer
276,1385,2025-01-01 04:35:00,47,A,B,Customer
277,1386,2025-01-01 04:36:00,25,D,C,Subscriber
278,1112,2025-01-01 04:37:00,19,D,C,Subscriber
279,1612,2025-01-01 04:38:00,39,B,D,Customer
280,1624,2025-01-01 04:39:00,52,D,C,Subscriber
281,1951,2025-01-01 04:40:00,25,C,D,Customer
282,1080,2025-01-01 04:41:00,25,B,A,Customer
283,1698,2025-01-01 04:42:00,25,A,C,Subscriber
284,1112,2025-01-01 04:43:00,48,A,B,Customer
285,1001,2025-01-01 04:44:00,36,B,B,Subscriber
286,1641,2025-01-01 04:45:00,59,D,A,Customer
287,1219,2025-01-01 04:46:00,9,D,B,Subscriber
288,1565,2025-01-01 04:47:00,43,A,D,Subscriber
289,1854,2025-01-01 04:48:00,13,C,C,Subscriber
290,1996,2025-01-01 04:49:00,57,D,E,Customer
291,1735,2025-01-01 04:50:00,22,C,C,Subscriber
292,1224,2025-01-01 04:51:00,25,D,C,Customer
293,1384,2025-01-01 04:52:00,12,B,E,Customer
294,1402,2025-01-01 04:53:00,48,E,B,Customer
295,1637,2025-01-01 04:54:00,56,A,B,Subscriber
296,1129,2025-01-01 04:55:00,38,B,C,Customer
297,1052,2025-01-01 04:56:00,14,D,B,Customer
298,1683,2025-01-01 04:57:00,55,A,D,Customer
299,1729,2025-01-01 04:58:00,45,E,D,Customer
300,1671,2025-01-01 04:59:00,28,E,E,Customer
301,1709,2025-01-01 05:00:00,44,D,C,Subscriber
302,1415,2025-01-01 05:01:00,28,A,D,Subscriber
303,1246,2025-01-01 05:02:00,36,D,A,Customer
304,1835,2025-01-01 05:03:00,37,E,B,Subscriber
305,1438,2025-01-01 05:04:00,42,B,C,Subscriber
306,1202,2025-01-01 05:05:00,48,B,D,Customer
307,1183,2025-01-01 05:06:00,55,C,E,Subscriber
308,1122,2025-01-01 05:07:00,53,E,D,Subscriber
309,1400,2025-01-01 05:08:00,38,E,A,Subscriber
310,1766,2025-01-01 05:09:00,15,D,D,Subscriber
311,1293,2025-01-01 05:10:00,35,C,C,Customer
312,1279,2025-01-01 05:11:00,22,C,E,Subscriber
313,1836,2025-01-01 05:12:00,27,A,E,Subscriber
314,1883,2025-01-01 05:13:00,26,D,A,Customer
315,1609,2025-01-01 05:14:00,47,B,C,Subscriber
316,1197,2025-01-01 05:15:00,22,A,A,Customer
317,1981,2025-01-01 05:16:00,44,C,A,Subscriber
318,1906,2025-01-01 05:17:00,51,B,A,Subscriber
319,1510,2025-01-01 05:18:00,45,E,D,Subscriber
320,1751,2025-01-01 05:19:00,51,D,B,Subscriber
321,1143,2025-01-01 05:20:00,43,C,D,Customer
322,1608,2025-01-01 05:21:00,24,E,C,Customer
323,1200,2025-01-01 05:22:00,17,C,A,Subscriber
324,1123,2025-01-01 05:23:00,49,B,A,Customer
325,1186,2025-01-01 05:24:00,5,A,B,Customer
326,1325,2025-01-01 05:25:00,56,B,E,Subscriber
327,1463,2025-01-01 05:26:00,8,D,A,Customer
328,1348,2025-01-01 05:27:00,28,D,D,Customer
329,1770,2025-01-01 05:28:00,40,C,A,Customer
330,1659,2025-01-01 05:29:00,40,B,C,Subscriber
331,1763,2025-01-01 05:30:00,49,A,B,Subscriber
332,1954,2025-01-01 05:31:00,6,D,E,Subscriber
333,1931,2025-01-01 05:32:00,32,A,C,Subscriber
334,1402,2025-01-01 05:33:00,30,E,D,Subscriber
335,1345,2025-01-01 05:34:00,27,C,C,Subscriber
336,1962,2025-01-01 05:35:00,19,A,A,Subscriber
337,1510,2025-01-01 05:36:00,40,C,B,Subscriber
338,1146,2025-01-01 05:37:00,31,E,A,Customer
339,1147,2025-01-01 05:38:00,10,A,B,Customer
340,1863,2025-01-01 05:39:00,39,A,D,Subscriber
341,1710,2025-01-01 05:40:00,43,E,C,Subscriber
342,1819,2025-01-01 05:41:00,42,B,B,Subscriber
343,1488,2025-01-01 05:42:00,39,A,C,Customer
344,1928,2025-01-01 05:43:00,40,A,B,Subscriber
345,1935,2025-01-01 05:44:00,14,D,A,Customer
346,1639,2025-01-01 05:45:00,34,B,B,Subscriber
347,1550,2025-01-01 05:46:00,57,A,B,Subscriber
348,1337,2025-01-01 05:47:00,45,E,E,Customer
349,1871,2025-01-01 05:48:00,42,C,D,Customer
350,1640,2025-01-01 05:49:00,33,E,A,Customer
351,1778,2025-01-01 05:50:00,56,B,A,Customer
352,1987,2025-01-01 05:51:00,47,D,C,Subscriber
353,1952,2025-01-01 05:52:00,43,D,B,Customer
354,1472,2025-01-01 05:53:00,54,D,B,Subscriber
355,1945,2025-01-01 05:54:00,8,E,B,Subscriber
356,1150,2025-01-01 05:55:00,9,C,A,Customer
357,1414,2025-01-01 05:56:00,8,C,E,Subscriber
358,1989,2025-01-01 05:57:00,40,A,C,Subscriber
359,1297,2025-01-01 05:58:00,49,C,B,Subscriber
360,1610,2025-01-01 05:59:00,20,C,E,Customer
361,1262,2025-01-01 06:00:00,29,A,D,Customer
362,1763,2025-01-01 06:01:00,18,E,A,Customer
363,1143,2025-01-01 06:02:00,15,E,D,Subscriber
364,1345,2025-01-01 06:03:00,33,B,A,Subscriber
365,1623,2025-01-01 06:04:00,38,E,C,Customer
366,1571,2025-01-01 06:05:00,26,D,D,Customer
367,1880,2025-01-01 06:06:00,18,D,C,Customer
368,1001,2025-01-01 06:07:00,28,B,C,Customer
369,1896,2025-01-01 06:08:00,43,C,C,Subscriber
370,1303,2025-01-01 06:09:00,30,B,D,Subscriber
371,1253,2025-01-01 06:10:00,47,A,D,Subscriber
372,1651,2025-01-01 06:11:00,40,B,D,Subscriber
373,1452,2025-01-01 06:12:00,43,B,B,Customer
374,1036,2025-01-01 06:13:00,20,D,C,Customer
375,1159,2025-01-01 06:14:00,42,A,B,Subscriber
376,1008,2025-01-01 06:15:00,36,A,A,Customer
377,1232,2025-01-01 06:16:00,10,B,D,Subscriber
378,1098,2025-01-01 06:17:00,38,A,E,Customer
379,1658,2025-01-01 06:18:00,12,A,A,Customer
380,1815,2025-01-01 06:19:00,34,E,C,Subscriber
381,1207,2025-01-01 06:20:00,31,A,C,Subscriber
382,1130,2025-01-01 06:21:00,11,C,B,Subscriber
383,1403,2025-01-01 06:22:00,31,A,D,Subscriber
384,1151,2025-01-01 06:23:00,29,D,D,Subscriber
385,1053,2025-01-01 06:24:00,50,E,A,Customer
386,1119,2025-01-01 06:25:00,45,D,A,Customer
387,1672,2025-01-01 06:26:00,19,D,A,Customer
388,1919,2025-01-01 06:27:00,29,C,E,Subscriber
389,1627,2025-01-01 06:28:00,26,E,E,Subscriber
390,1586,2025-01-01 06:29:00,22,B,C,Subscriber
391,1624,2025-01-01 06:30:00,16,A,C,Customer
392,1967,2025-01-01 06:31:00,27,C,C,Customer
393,1419,2025-01-01 06:32:00,55,C,D,Customer
394,1421,2025-01-01 06:33:00,49,B,C,Customer
395,1103,2025-01-01 06:34:00,43,C,B,Customer
396,1851,2025-01-01 06:35:00,29,B,A,Subscriber
397,1253,2025-01-01 06:36:00,14,B,D,Customer
398,1226,2025-01-01 06:37:00,34,B,E,Subscriber
399,1111,2025-01-01 06:38:00,14,C,A,Subscriber
400,1509,2025-01-01 06:39:00,38,B,C,Customer
401,1472,2025-01-01 06:40:00,50,C,E,Customer
402,1098,2025-01-01 06:41:00,17,E,E,Customer
403,1152,2025-01-01 06:42:00,58,B,E,Customer
404,1860,2025-01-01 06:43:00,33,C,A,Subscriber
405,1913,2025-01-01 06:44:00,42,C,D,Subscriber
406,1895,2025-01-01 06:45:00,45,C,A,Subscriber
407,1877,2025-01-01 06:46:00,49,A,B,Customer
408,1337,2025-01-01 06:47:00,13,A,C,Subscriber
409,1705,2025-01-01 06:48:00,17,B,D,Subscriber
410,1821,2025-01-01 06:49:00,41,E,D,Subscriber
411,1162,2025-01-01 06:50:00,18,B,C,Subscriber
412,1719,2025-01-01 06:51:00,41,D,B,Subscriber
413,1956,2025-01-01 06:52:00,13,D,E,Subscriber
414,1680,2025-01-01 06:53:00,12,E,C,Subscriber
415,1995,2025-01-01 06:54:00,43,E,E,Subscriber
416,1160,2025-01-01 06:55:00,44,E,C,Customer
417,1579,2025-01-01 06:56:00,58,A,A,Subscriber
418,1800,2025-01-01 06:57:00,7,A,B,Customer
419,1397,2025-01-01 06:58:00,59,D,B,Customer
420,1276,2025-01-01 06:59:00,51,E,C,Subscriber
421,1815,2025-01-01 07:00:00,44,C,B,Subscriber
422,1915,2025-01-01 07:01:00,37,D,E,Subscriber
423,1503,2025-01-01 07:02:00,36,E,B,Customer
424,1895,2025-01-01 07:03:00,11,C,B,Subscriber
425,1391,2025-01-01 07:04:00,23,E,B,Subscriber
426,1134,2025-01-01 07:05:00,38,B,D,Customer
427,1194,2025-01-01 07:06:00,18,C,C,Subscriber
428,1400,2025-01-01 07:07:00,54,B,A,Subscriber
429,1639,2025-01-01 07:08:00,51,A,A,Customer
430,1032,2025-01-01 07:09:00,50,D,D,Customer
431,1687,2025-01-01 07:10:00,23,E,D,Subscriber
432,1459,2025-01-01 07:11:00,55,D,A,Subscriber
433,1954,2025-01-01 07:12:00,58,E,E,Subscriber
434,1882,2025-01-01 07:13:00,30,B,A,Customer
435,1469,2025-01-01 07:14:00,21,C,A,Customer
436,1374,2025-01-01 07:15:00,58,C,C,Customer
437,1021,2025-01-01 07:16:00,32,E,A,Subscriber
438,1749,2025-01-01 07:17:00,23,B,A,Customer
439,1669,2025-01-01 07:18:00,31,E,B,Subscriber
440,1037,2025-01-01 07:19:00,52,E,D,Customer
441,1229,2025-01-01 07:20:00,56,E,A,Subscriber
442,1364,2025-01-01 07:21:00,23,C,A,Customer
443,1562,2025-01-01 07:22:00,37,E,E,Subscriber
444,1437,2025-01-01 07:23:00,55,C,A,Customer
445,1775,2025-01-01 07:24:00,11,A,C,Subscriber
446,1282,2025-01-01 07:25:00,33,B,E,Customer
447,1026,2025-01-01 07:26:00,59,A,A,Subscriber
448,1225,2025-01-01 07:27:00,47,E,C,Customer
449,1276,2025-01-01 07:28:00,9,C,D,Customer
450,1797,2025-01-01 07:29:00,34,B,A,Subscriber
451,1608,2025-01-01 07:30:00,53,D,D,Subscriber
452,1283,2025-01-01 07:31:00,47,B,A,Customer
453,1878,2025-01-01 07:32:00,12,B,E,Customer
454,1959,2025-01-01 07:33:00,46,E,E,Subscriber
455,1480,2025-01-01 07:34:00,16,A,C,Customer
456,1452,2025-01-01 07:35:00,46,A,B,Customer
457,1828,2025-01-01 07:36:00,17,D,C,Subscriber
458,1815,2025-01-01 07:37:00,30,E,A,Customer
459,1658,2025-01-01 07:38:00,22,B,D,Subscriber
460,1515,2025-01-01 07:39:00,46,A,D,Subscriber
461,1546,2025-01-01 07:40:00,55,A,A,Subscriber
462,1191,2025-01-01 07:41:00,56,C,B,Customer
463,1048,2025-01-01 07:42:00,53,B,B,Customer
464,1511,2025-01-01 07:43:00,24,E,B,Customer
465,1016,2025-01-01 07:44:00,20,A,A,Customer
466,1171,2025-01-01 07:45:00,41,E,E,Subscriber
467,1219,2025-01-01 07:46:00,7,B,E,Subscriber
468,1157,2025-01-01 07:47:00,31,B,A,Customer
469,1476,2025-01-01 07:48:00,19,A,E,Subscriber
470,1045,2025-01-01 07:49:00,38,D,B,Customer
471,1372,2025-01-01 07:50:00,49,E,E,Customer
472,1517,2025-01-01 07:51:00,26,E,A,Subscriber
473,1098,2025-01-01 07:52:00,44,C,E,Customer
474,1891,2025-01-01 07:53:00,27,B,E,Subscriber
475,1744,2025-01-01 07:54:00,53,B,E,Subscriber
476,1036,2025-01-01 07:55:00,8,A,E,Customer
477,1279,2025-01-01 07:56:00,55,A,A,Subscriber
478,1348,2025-01-01 07:57:00,58,A,C,Subscriber
479,1496,2025-01-01 07:58:00,45,C,E,Customer
480,1301,2025-01-01 07:59:00,27,D,C,Subscriber
481,1180,2025-01-01 08:00:00,51,A,A,Customer
